Species,Authority,Common Name
Sedum anacampseros,L.,Love-restoring Stonecrop
Sedum spurium,M. Bieb.,Caucasian-stonecrop 
Sedum stoloniferum,S.G. Gmel.,Lesser Caucasian-stonecrop
Sedum nicaeense,All.,Pale Stonecrop
Sedum rupestre,L.,Reflexed Stonecrop
Sedum forsterianum,Sm.,Rock Stonecrop
Sedum acre,L.,Biting Stonecrop
Sedum sexangulare,L.,Tasteless Stonecrop
Sedum album,L.,White Stonecrop
Sedum lydium,Boiss.,Least Stonecrop
Sedum anglicum,Huds.,English Stonecrop
Sedum dasyphyllum,L.,Thick-leaved Stonecrop
Sedum villosum,L.,Hairy Stonecrop
Sedum hispanicum,L.,Spanish Stonecrop
Sedum spectabile x telephium = S. 'Herbstfreude',,Autumn Stonecrop
Sedum cepaea,L.,Pink Stonecrop
Sedum hybridum,L.,Siberian Stonecrop
Sedum kamtschaticum,Mast.,Kamchatka Stonecrop
Sedum mexicanum,Britton,Mexican-stonecrop 
Sedum pallidum,M. Bieb.,
Sedum populifolium,Pall.,
Sedum rubrotinctum,R.T. Clausen,Jelly-beans 
Sedum sieboldii,Sweet ex Hook.,
Sedum spathulifolium,Hook.,Colorado Stonecrop
Sedum stellatum,L.,Starry Stonecrop
Chiastophyllum oppositifolium,(Ledeb. ex Nordm.) A. Berger,Lamb's-tail 
Echeveria derenbergii,J.A. Purpus,Painted-lady 
Jovibarba sobolifera,(Sims) Opiz,Hens-and-chickens House-leek
Kalanchoe blossfeldiana,Poelln.,Flaming Katy
Pistorinia hispanica,(L.) DC.,
Astilbe japonica,(C. Morren & Decne.) A. Gray,False-buck's-beard 
Astilbe japonica x chinensis x rosea = A. x arendsii,Arends,Red False-buck's-beard
Astilbe chinensis,(Maxim.) Franch. & Sav.,Tall False-buck's-beard
Rodgersia podophylla,A. Gray,Rodgersia 
Rodgersia aesculifolia,Batalin,
Bergenia crassifolia,(L.) Fritsch,Elephant-ears 
Bergenia crassifolia x ciliata = B. x schmidtii,(Regel) Silva Tar.,
Bergenia ciliata,(Haw.) Sternb.,Hairy Bergenia
Bergenia cordifolia,(Haw.) Sternb.,Heart-leaved Bergenia
Bergenia purpurascens,(Hook. f. & Thomson) Engl.,
Darmera peltata,(Torr. ex Benth.) Voss ex Post & Kuntze,Indian-rhubarb 
Saxifraga hirculus,L.,Marsh Saxifrage
Saxifraga cymbalaria,L.,Celandine Saxifrage
Saxifraga nivalis,L.,Alpine Saxifrage
Saxifraga stellaris,L.,Starry Saxifrage
Saxifraga stolonifera,Curtis,Strawberry Saxifrage
Saxifraga rotundifolia,L.,Round-leaved Saxifrage
Saxifraga cuneifolia,L.,Lesser Londonpride
Saxifraga umbrosa,L.,Pyrenean Saxifrage
Saxifraga umbrosa x spathularis = S. x urbium,D.A. Webb,Londonpride 
Saxifraga umbrosa x hirsuta = S. x geum,L.,Scarce Londonpride
Saxifraga x geum x paniculata = S. x andrewsii,Harv.,
Saxifraga spathularis,Brot.,St Patrick's-cabbage 
Saxifraga spathularis x hirsuta = S. x polita,(Haw.) Link,False Londonpride
Saxifraga hirsuta,L.,Kidney Saxifrage
Saxifraga oppositifolia,L.,Purple Saxifrage
Saxifraga aizoides,L.,Yellow Saxifrage
Saxifraga rivularis,L.,Highland Saxifrage
Saxifraga cernua,L.,Drooping Saxifrage
Saxifraga granulata,L.,Meadow Saxifrage
Saxifraga hypnoides,L.,Mossy Saxifrage
Saxifraga hypnoides x rosacea,,
Saxifraga hypnoides x tridactylites,,
Saxifraga rosacea,Moench,Irish Saxifrage
Saxifraga rosacea subsp. rosacea,,
Saxifraga rosacea subsp. hartii,(D.A. Webb) D.A. Webb,
Saxifraga cespitosa,L.,Tufted Saxifrage
Saxifraga tridactylites,L.,Rue-leaved Saxifrage
Saxifraga x arendsii,Engl.,
Saxifraga paniculata,Mill.,Livelong Saxifrage
Saxifraga trifurcata,Schrad.,
Heuchera sanguinea,Engelm.,Coralbells 
Heuchera x brizoides,hort. ex Lemoine,
Heuchera x brizoides x Tiarella cordifolia = x Heucherella tiarelloides,(Lemoine) H.R. Wehrh. ex Stearn,
Tolmiea menziesii,(Pursh) Torr. & A. Gray,Pick-a-back-plant 
Tellima grandiflora,(Pursh) Douglas ex Lindl.,Fringecups 
Chrysosplenium oppositifolium,L.,Opposite-leaved Golden-saxifrage
Chrysosplenium alternifolium,L.,Alternate-leaved Golden-saxifrage
Parnassia palustris,L.,Grass-of-Parnassus 
Mitella caulescens,Nutt. ex Torr. & A. Gray,Star-shaped Mitrewort
Mitella diphylla,L.,Two-leaved Mitrewort
Tiarella cordifolia,L.,Foamflower 
Tiarella wherryi,Lakela,Tufted Foamflower
Sorbaria sorbifolia,(L.) A. Braun,Sorbaria 
Sorbaria tomentosa,(Lindl.) Rehder,Himalayan Sorbaria
Sorbaria kirilowii,(Regel) Maxim.,Chinese Sorbaria
Sorbaria grandiflora,(Sweet) Maxim.,
Physocarpus opulifolius,(L.) Maxim.,Ninebark 
Physocarpus amurensis,(Maxim.) Maxim.,
Spiraea salicifolia,L.,Bridewort 
Spiraea salicifolia x alba = S. x rosalba,Dippel,Intermediate Bridewort
Spiraea salicifolia x douglasii = S. x pseudosalicifolia,Silverside,Confused Bridewort
Spiraea alba,Du Roi,Pale Bridewort
Spiraea alba x douglasii = S. x billardii,Hérincq,Billard's Bridewort
Spiraea douglasii,Hook.,Steeple-bush 
Spiraea douglasii subsp. douglasii,,
Spiraea douglasii subsp. menziesii,(Hook.) Calder & Roy L. Taylor,
Spiraea douglasii x canescens = S. x brachybotrys,Lange,Lange's Spiraea
Spiraea tomentosa,L.,Hardhack 
Spiraea japonica,L. f.,Japanese Spiraea
Spiraea canescens,D. Don,Himalayan Spiraea
Spiraea chamaedryfolia,L.,Elm-leaved Spiraea
Spiraea chamaedryfolia subsp. ulmifolia,(Scop.) J. Duvign.,
Spiraea salicifolia agg.,,
Spiraea cantoniensis x trilobata = S. x vanhouttei,(Briot) Carrière,Van Houtte's Spiraea
Spiraea hypericifolia,L.,
Spiraea media,Schmidt,Russian Spiraea
Spiraea multiflora x thunbergii = S. x arguta,Zabel,Bridal-spray 
Spiraea trilobata,L.,
Aruncus dioicus,(Walter) Fernald,Buck's-beard 
Holodiscus discolor,(Pursh) Maxim.,Oceanspray 
Filipendula vulgaris,Moench,Dropwort 
Filipendula ulmaria,(L.) Maxim.,Meadowsweet 
Filipendula camtschatica,(Pall.) Maxim.,Giant Meadowsweet
Filipendula x purpurea,Maxim.,Red Meadowsweet
Filipendula rubra,(Hill) B.L. Rob.,Queen-of-the-prairie 
Filipendula vestita,(Wall. ex G. Don) Maxim,
Kerria japonica,(L.) DC.,Kerria 
Rubus chamaemorus,L.,Cloudberry 
Rubus tricolor,Focke,Chinese Bramble
Rubus saxatilis,L.,Stone Bramble
Rubus arcticus,L.,Arctic Bramble
Rubus odoratus,L.,Purple-flowered Raspberry
Rubus odoratus x parviflorus = R. x fraseri,Rehder,
Rubus parviflorus,Nutt.,Thimbleberry 
Rubus idaeus,L.,Raspberry 
Rubus idaeus x phoenicolasius = R. x paxii,Focke,
Rubus idaeus x caesius = R. x pseudoidaeus,(Weihe) Lej.,
Rubus idaeus x fruticosus,,
Rubus phoenicolasius,Maxim.,Japanese Wineberry
Rubus spectabilis,Pursh,Salmonberry 
Rubus loganobaccus,L.H. Bailey,Loganberry 
Rubus cockburnianus,Hemsl.,White-stemmed Bramble
Rubus accrescens,A. Newton,
Rubus allegheniensis,Porter,
Rubus arrheniiformis,W.C.R. Watson,
Rubus bertramii,G. Braun,
Rubus briggsianus,(W.M. Rogers) W.M. Rogers,
Rubus canadensis,L.,
Rubus daltrii,Edees & Rilstone,
Rubus divaricatus,P.J. Müll.,
Rubus fissus,Lindl.,
Rubus glanduliger,W.C.R. Watson,
Rubus integribasis,P.J. Müll. ex Boulay,
Rubus nessensis,Hall,
Rubus nitidiformis,Sudre,
Rubus nobilissimus,(W.C.R. Watson) Pearsall,
Rubus plicatus,Weihe & Nees,
Rubus scissus,W.C.R. Watson,
Rubus subopacus,(Sudre ex Bouvet) D.E. Allen,
Rubus sulcatus,Vest,
Rubus trelleckensis,Edees & A. Newton,
Rubus vigorosus,P.J. Müll. & Wirtg.,
Rubus adspersus,Weihe ex H.E. Weber,
Rubus albionis,W.C.R. Watson,
Rubus averyanus,W.C.R. Watson,
Rubus boulayi,(Sudre) W.C.R. Watson,
Rubus calvatus,Lees ex A. Bloxam,
Rubus cambrensis,W.C.R. Watson,
Rubus canterburiensis,Edees,
Rubus castrensis,Wolley-Dod,
Rubus chloophyllus,Sudre,
Rubus chrysoxylon,(W.M. Rogers) W.M. Rogers,
Rubus confertiflorus,W.C.R. Watson,
Rubus crespignyanus,W.C.R. Watson,
Rubus crudelis,W.C.R. Watson,
Rubus cumbrensis,A. Newton,
Rubus dasycoccus,W.C.R. Watson,
Rubus dobuniensis,Sudre & Ley,
Rubus durescens,W.R. Linton,
Rubus ebudensis,A. Newton,
Rubus errabundus,W.C.R. Watson,
Rubus gratus,Focke,
Rubus hesperius,W.M. Rogers,
Rubus imbricatus,Hort,
Rubus laciniatus,Willd.,
Rubus lacustris,W.M. Rogers,
Rubus lentiginosus,Lees,
Rubus leptothyrsos,G. Braun,
Rubus leucandriformis,Edees & A. Newton,
Rubus lindleianus,Lees,
Rubus ludensis,W.C.R. Watson,
Rubus macrophyllus,Weihe & Nees,
Rubus mercicus,Bagn.,
Rubus mollissimus,W.M. Rogers,
Rubus monensis,W.C. Barton & Ridd.,
Rubus obesifolius,W.C.R. Watson,
Rubus oxyanchus,Sudre,
Rubus perdigitatus,A. Newton,
Rubus platyacanthus,P.J. Müll. & Lefèvre,
Rubus pliocenicus,(W.C.R. Watson) Edees & A. Newton,
Rubus plymensis,(Focke) Edees & A. Newton,
Rubus poliodes,W.C.R. Watson,
Rubus polyoplus,W.C.R. Watson,
Rubus pullifolius,W.C.R. Watson,
Rubus purbeckensis,W.C. Barton & Ridd.,
Rubus pyramidalis,Kaltenb.,
Rubus questieri,Lefèvre & P.J. Müll.,
Rubus riparius,W.C. Barton ex A. Newton,
Rubus robiae,(W.C.R. Watson) A. Newton,
Rubus salteri,Bab.,
Rubus sciocharis,(Sudre) W.C.R. Watson,
Rubus silurum,(Ley) Ley,
Rubus silvaticus,Weihe & Nees,
Rubus sneydii,Edees,
Rubus subintegribasis,Druce,
Rubus varvicensis,Edees,
Rubus viridescens,(W.M. Rogers) T.A.W. Davis,
Rubus acclivitatum,W.C.R. Watson,
Rubus altiarcuatus,W.C. Barton & Ridd.,
Rubus amplificatus,Lees,
Rubus bakerianus,W.C. Barton & Ridd.,
Rubus boudiccae,A.L. Bull & Edees,
Rubus cardiophyllus,Lefèvre & P.J. Müll.,
Rubus carnkiefensis,Rilstone,
Rubus cissburiensis,W.C. Barton & Ridd.,
Rubus cordatifolius,(W.M. Rogers ex Ridd.) D.E. Allen,
Rubus cornubiensis,(W.M. Rogers ex Ridd.) Rilstone,
Rubus curvispinosus,Edees & A. Newton,
Rubus daveyi,Rilstone,
Rubus diversiarmatus,W.C.R. Watson,
Rubus dumnoniensis,Bab.,
Rubus elegantispinosus,(A. Schumach.) H.E. Weber,
Rubus furnarius,W.C. Barton & Ridd.,
Rubus herefordensis,Sudre,
Rubus incurvatiformis,Edees,
Rubus incurvatus,Bab.,
Rubus iricus,W.M. Rogers,
Rubus lasiodermis,Sudre,
Rubus lindebergii,P.J. Müll.,
Rubus londinensis,(W.M. Rogers) W.C.R. Watson,
Rubus milfordensis,Edees,
Rubus nemoralis,P.J. Müll.,
Rubus pampinosus,Lees,
Rubus patuliformis,Sudre,
Rubus pervalidus,Edees & A. Newton,
Rubus pistoris,W.C. Barton & Ridd.,
Rubus polyanthemus,Lindeb.,
Rubus prolongatus,Boulay & Letendre ex Corb.,
Rubus ramosus,A. Bloxam ex Briggs,
Rubus rhombifolius,Weihe ex Boenn.,
Rubus riddelsdellii,Rilstone,
Rubus rubritinctus,W.C.R. Watson,
Rubus septentrionalis,W.C.R. Watson,
Rubus stanneus,W.C. Barton & Ridd.,
Rubus subinermoides,Druce,
Rubus tavensis,A. Newton & M. Porter,
Rubus tresidderi,Rilstone,
Rubus villicauliformis,A. Newton,
Rubus arrhenii,(Lange) Lange,
Rubus brevistaminosus,Edees & A. Newton,
Rubus permundus,W.C.R. Watson,
Rubus sprengelii,Weihe,
Rubus anglocandicans,A. Newton,
Rubus armeniacus,Focke,
Rubus armipotens,W.C. Barton ex A. Newton,
Rubus hylophilus,Ripart ex Genev.,
Rubus lamburnensis,Rilstone,
Rubus neomalacus,Sudre,
Rubus pydarensis,Rilstone,
Rubus rossensis,A. Newton,
Rubus stenopetalus,Lefèvre & P.J. Müll.,
Rubus ulmifolius,Schott,
Rubus ulmifolius x caesius,,
Rubus winteri,P.J. Müll. ex Focke,
Rubus adscitus,Genev.,
Rubus andegavensis,Bouvet,
Rubus bartonii,A. Newton,
Rubus boraeanus,Genev.,
Rubus conspersus,W.C.R. Watson,
Rubus cotteswoldensis,W.C. Barton & Ridd.,
Rubus criniger,(E.F. Linton) W.M. Rogers,
Rubus euanthinus,W.C.R. Watson,
Rubus hirsutissimus,(Sudre & Ley) W.C.R. Watson,
Rubus infestisepalus,Edees & A. Newton,
Rubus lanaticaulis,Edees & A. Newton,
Rubus lettii,W.M. Rogers,
Rubus leucostachys,Schleich. ex Sm.,
Rubus longus,(W.M. Rogers & Ley) A. Newton,
Rubus orbus,W.C.R. Watson,
Rubus ordovicum,A. Newton,
Rubus painteri,Edees,
Rubus surrejanus,W.C. Barton & Ridd.,
Rubus thurstonii,Rilstone,
Rubus vestitus,Weihe,
Rubus aquarum,A. Newton & M. Porter,
Rubus cinerosiformis,Rilstone,
Rubus devoniensis,(Focke ex W.M. Rogers) W.M. Rogers,
Rubus egregius,Focke,
Rubus furvicolor,Focke,
Rubus fuscicortex,Sudre,
Rubus melanocladus,(Sudre) Ridd.,
Rubus mucronatiformis,(Sudre) W.C.R. Watson,
Rubus mucronatoides,Ley ex W.M. Rogers,
Rubus mucronulatus,Boreau,
Rubus wirralensis,A. Newton,
Rubus acutifrons,Ley,
Rubus aequalidens,A. Newton,
Rubus coombensis,Rilstone,
Rubus curvidens,Ley,
Rubus decussatus,W.C. Barton ex A. Newton,
Rubus diversus,W.C.R. Watson,
Rubus erythrops,Edees & A. Newton,
Rubus fuscoviridis,Rilstone,
Rubus gallofuscus,A. Newton & M. Porter,
Rubus glareosus,W.M. Rogers,
Rubus griffithianus,W.M. Rogers,
Rubus hantonensis,D.E. Allen,
Rubus hastiformis,W.C.R. Watson,
Rubus heterobelus,Sudre,
Rubus laxatifrons,W.C.R. Watson,
Rubus leightonii,Lees ex F.M. Leight.,
Rubus lintonii,Focke ex Bab.,
Rubus longifrons,W.C.R. Watson,
Rubus melanodermis,Focke ex W.M. Rogers,
Rubus micans,Godr.,
Rubus moylei,W.C. Barton & Ridd.,
Rubus newbouldii,Bab.,
Rubus norvicensis,A.L. Bull & Edees,
Rubus powellii,W.M. Rogers,
Rubus raduloides,(W.M. Rogers) Sudre,
Rubus trichodes,W.C.R. Watson,
Rubus turritus,Edees,
Rubus wedgwoodiae,W.C. Barton & Ridd.,
Rubus adamsii,Sudre,
Rubus ahenifolius,W.C.R. Watson,
Rubus anglofuscus,Edees,
Rubus anisacanthos,G. Braun,
Rubus biloensis,A. Newton & M. Porter,
Rubus cinerosus,W.M. Rogers,
Rubus dentatifolius,(Briggs) W.C.R. Watson,
Rubus distractiformis,A. Newton,
Rubus drejeri,Jensen ex Lange,
Rubus dunensis,W.M. Rogers,
Rubus effrenatus,A. Newton,
Rubus formidabilis,Lefèvre & P.J. Müll.,
Rubus hartmanii,Gand.,
Rubus hibernicus,(W.M. Rogers) W.M. Rogers,
Rubus infestus,Weihe ex Boenn.,
Rubus leyanus,W.M. Rogers,
Rubus metallorum,Margetts,
Rubus morganwgensis,W.C. Barton & Ridd.,
Rubus pascuorum,W.C.R. Watson,
Rubus adenanthoides,A. Newton,
Rubus bloxamianus,Coleman ex Purchas,
Rubus bloxamii,(Bab.) Lees,
Rubus botryeros,(Focke ex W.M. Rogers) W.M. Rogers,
Rubus briggsii,A. Bloxam,
Rubus cantianus,(W.C.R. Watson) Edees & A. Newton,
Rubus cavatifolius,P.J. Müll. ex Boulay,
Rubus celticus,A. Newton,
Rubus condensatus,P.J. Müll.,
Rubus echinatoides,(W.M. Rogers) Dallman,
Rubus echinatus,Lindl.,
Rubus euryanthemus,W.C.R. Watson,
Rubus flexuosus,P.J. Müll. & Lefèvre,
Rubus fuscicaulis,Edees,
Rubus fuscus,Weihe,
Rubus hyposericeus,Sudre,
Rubus informifolius,Edees,
Rubus insectifolius,Lefèvre & P.J. Müll.,
Rubus iodnephes,W.C.R. Watson,
Rubus largificus,W.C.R. Watson,
Rubus longithyrsiger,Lees ex Focke,
Rubus malvernicus,Edees,
Rubus newbouldianus,Rilstone,
Rubus pallidus,Weihe,
Rubus peninsulae,Rilstone,
Rubus porphyrocaulis,A. Newton,
Rubus putneiensis,W.C.R. Watson,
Rubus radula,Weihe ex Boenn.,
Rubus radulicaulis,Sudre,
Rubus regillus,Ley,
Rubus rubristylus,W.C.R. Watson,
Rubus rudis,Weihe,
Rubus rufescens,Lefèvre & P.J. Müll.,
Rubus sagittarius,Ridd.,
Rubus scoticus,(W.M. Rogers & Ley) Edees,
Rubus sectiramus,W.C.R. Watson,
Rubus spadix,W.C.R. Watson,
Rubus subtercanens,W.C.R. Watson,
Rubus troiensis,A. Newton,
Rubus wolley-dodii,(Sudre) W.C.R. Watson,
Rubus angusticuspis,Sudre,
Rubus aristisepalus,(Sudre) W.C.R. Watson,
Rubus atrebatum,A. Newton,
Rubus babingtonii,T.B. Salter,
Rubus bercheriensis,(Druce ex W.M. Rogers) W.M. Rogers,
Rubus breconensis,W.C.R. Watson,
Rubus dasyphyllus,(W.M. Rogers) E.S. Marshall,
Rubus durotrigum,R.P. Murray,
Rubus hylocharis,W.C.R. Watson,
Rubus iceniensis,A. Newton & H.E. Weber,
Rubus infestior,Edees,
Rubus marshallii,Focke & W.M. Rogers,
Rubus merlinii,A. Newton & M. Porter,
Rubus asperidens,(Sudre ex Bouvet) Bouvet,
Rubus murrayi,Sudre,
Rubus naldrettii,(J.W. White) W.C.R. Watson,
Rubus newbridgensis,W.C. Barton & Ridd.,
Rubus pallidisetus,Sudre,
Rubus phaeocarpus,W.C.R. Watson,
Rubus proiectus,A. Beek,
Rubus pseudoplinthostylus,W.C.R. Watson,
Rubus purchasianus,W.M. Rogers,
Rubus rilstonei,W.C. Barton & Ridd.,
Rubus rotundifolius,(Bab.) A. Bloxam,
Rubus scabripes,Genev.,
Rubus semiglaber,(W.M. Rogers) W.C.R. Watson,
Rubus tamarensis,A. Newton,
Rubus tardus,W.C.R. Watson,
Rubus thyrsigeriformis,(Sudre) D.E. Allen,
Rubus tumulorum,Rilstone,
Rubus turneri,W.C.R. Watson,
Rubus vigursii,Rilstone,
Rubus watsonii,W.H. Mills,
Rubus angloserpens,Edees & A. Newton,
Rubus hylonomus,Lefèvre & P.J. Müll.,
Rubus leptadenes,Sudre,
Rubus obscuriflorus,Edees & A. Newton,
Rubus pedemontanus,Pinkw.,
Rubus praetextus,Sudre,
Rubus scaber,Weihe,
Rubus adenoleucus,Chaboiss.,
Rubus babingtonianus,W.C.R. Watson,
Rubus bagnallianus,Edees,
Rubus britannicus,W.M. Rogers,
Rubus bucknallii,J.W. White,
Rubus conjungens,(Bab.) W.M. Rogers,
Rubus eboracensis,W.C.R. Watson,
Rubus halsteadensis,W.C.R. Watson,
Rubus hebridensis,Edees,
Rubus intensior,Edees,
Rubus latifolius,Bab.,
Rubus nemorosus,Hayne & Willd.,
Rubus pictorum,Edees,
Rubus pruinosus,Arrh.,
Rubus rubriflorus,Purchas,
Rubus tenuiarmatus,Lees,
Rubus triangularis,(Ley) Edees,
Rubus tuberculatus,Bab.,
Rubus warrenii,Sudre,
Rubus caesius,L.,Dewberry 
Rubus fruticosus agg.,,
Rubus aghadergensis,D.E. Allen,
Rubus anglobelgicus,D.E. Allen & Vannerom,
Rubus ariconiensis,A. Newton & M. Porter,
Rubus avaloniensis,A. Newton & R.D. Randall,
Rubus caesarius,D.E. Allen,
Rubus campaniensis,Winkel ex A. Beek,
Rubus cantabrigiensis,A.L. Bull & A.C. Leslie,
Rubus cerdicii,D.E. Allen,
Rubus clausentinus,D.E. Allen,
Rubus coreanus,Miq.,Korean Bramble
Rubus corbieri,Boulay ex Corb.,
Rubus couchii,Rilstone ex D.E. Allen,
Rubus deliciosus,Torr.,Rocky Mountain Raspberry
Rubus edeesii,H. Weber & A.L. Bull,
Rubus gariannensis,A.L. Bull,
Rubus hindii,A.L. Bull,
Rubus illecebrosus,Focke,Strawberry-raspberry 
Rubus iscanus,A. Newton & M. Porter,
Rubus linkianus,Ser.,
Rubus milesianus,D.E. Allen,
Rubus neumannianus,H.E. Weber & Vannerom,
Rubus newtonii,Ballantyne,
Rubus pannosus,P.J. Müll. & Wirtg.,
Rubus percrispus,A. Newton & R.D. Randall,
Rubus pydarensiformis,D.E. Allen,
Rubus segontii,A. Newton & M. Porter,
Rubus sempernitens,D.E. Allen & Margetts,
Rubus trinovantium,A.L. Bull,
Rubus vagensis,A. Newton & M. Porter,
Rubus venetorum,D.E. Allen,
Rubus villosior,A.L. Bull,
Rubus vindomensis,D.E. Allen,
Rubus waddellii,D.E. Allen,
Potentilla fruticosa,L.,Shrubby Cinquefoil
Potentilla palustris,(L.) Scop.,Marsh Cinquefoil
Potentilla anserina,L.,Silverweed 
Potentilla rupestris,L.,Rock Cinquefoil
Potentilla argentea,L.,Hoary Cinquefoil
Potentilla inclinata,Vill.,Grey Cinquefoil
Potentilla recta,L.,Sulphur Cinquefoil
Potentilla intermedia,L.,Russian Cinquefoil
Potentilla norvegica,L.,Ternate-leaved Cinquefoil
Potentilla rivalis,Nutt. ex Torr. & A. Gray,Brook Cinquefoil
Potentilla crantzii,(Crantz) Beck ex Fritsch,Alpine Cinquefoil
Potentilla crantzii x tabernaemontani = P. x beckii,Murr,
Potentilla tabernaemontani,Asch.,Spring Cinquefoil
Potentilla erecta,(L.) Raeusch.,Tormentil 
Potentilla erecta subsp. erecta,,
Potentilla erecta subsp. strictissima,(Zimmeter) A.J. Richards,
Potentilla erecta x anglica = P. x suberecta,Zimmeter,
Potentilla erecta x reptans = P. x italica,Lehm.,
Potentilla anglica,Laichard.,Trailing Tormentil
Potentilla anglica x reptans = P. x mixta,Nolte ex Rchb.,Hybrid Cinquefoil
Potentilla reptans,L.,Creeping Cinquefoil
Potentilla sterilis,(L.) Garcke,Barren Strawberry
Potentilla alba,L.,White Cinquefoil
Potentilla alchemilloides,Lapeyr.,Alchemilla-leaved Cinquefoil
Potentilla arguta,Pursh,Tall Cinquefoil
Potentilla aurea,L.,
Potentilla bifurca,L.,
Potentilla canadensis,L.,
Potentilla chrysantha,Trevis.,Thuringian Cinquefoil
Potentilla cinerea,Chaix ex Vill.,Ashy Cinquefoil
Potentilla collina,Wibel,
Potentilla crassinervia,Viv.,
Potentilla cuneata,Wall. ex Lehm.,
Potentilla hirta,L.,
Potentilla montana,Brot.,Mountain Cinquefoil
Potentilla nepalensis,Hook.,
Potentilla supina,L.,
Potentilla thuringiaca,Bernh. ex Link,
Potentilla tridentata,Aiton,Three-toothed Cinquefoil
Sibbaldia procumbens,L.,Sibbaldia 
Fragaria vesca,L.,Wild Strawberry
Fragaria moschata,(Duchesne) Weston,Hautbois Strawberry
Fragaria ananassa,(Duchesne) Duchesne,Garden Strawberry
Fragaria chiloensis,(L.) Mill.,Beach Strawberry
Duchesnea indica,(Jacks.) Focke,Yellow-flowered Strawberry
Geum rivale,L.,Water Avens
Geum rivale x urbanum = G. x intermedium,Ehrh.,Hybrid Avens
Geum urbanum,L.,Wood Avens
Geum macrophyllum,Willd.,Large-leaved Avens
Geum aleppicum,Jacq.,
Geum quellyon,Sweet,Scarlet Avens
Dryas octopetala,L.,Mountain Avens
Agrimonia eupatoria,L.,Agrimony 
Agrimonia eupatoria x procera = A. x wirtgenii,Asch. & Graebn.,
Agrimonia procera,Wallr.,Fragrant Agrimony
Aremonia agrimonioides,(L.) DC.,Bastard Agrimony
Sanguisorba officinalis,L.,Great Burnet
Sanguisorba canadensis,L.,White Burnet
Sanguisorba minor,Scop.,
Sanguisorba minor subsp. minor,,Salad Burnet
Sanguisorba minor subsp. muricata,(Gremli) Briq.,Fodder Burnet
Sanguisorba minor subsp. magnolii,(Spach) Briq.,
Acaena novae-zelandiae,Kirk,Pirri-pirri-bur 
Acaena anserinifolia,(J.R. Forst. & G. Forst.) Druce,Bronze Pirri-pirri-bur
Acaena anserinifolia x inermis,,
Acaena ovalifolia,Ruiz & Pav.,Two-spined Acaena
Acaena inermis,Hook. f.,Spineless Acaena
Acaena caesiiglauca,(Bitter) Bergmans,Glaucous Pirri-pirri-bur
Acaena hieronymi,Kuntze,
Acaena magellanica,(Lam.) J. Vahl,
Acaena microphylla,Hook. f.,
Acaena ovina,A. Cunn.,Sheep's-bur 
Acaena pinnatifida,Ruiz & Pav.,
Acaena sericea,J. Jacq.,
Acaena splendens,Hook. & Arn.,
Alchemilla alpina,L.,Alpine Lady's-mantle
Alchemilla conjuncta,Bab.,Silver Lady's-mantle
Alchemilla glaucescens,Wallr.,
Alchemilla monticola,Opiz,
Alchemilla tytthantha,Juz.,
Alchemilla subcrenata,Buser,
Alchemilla acutiloba,Opiz,
Alchemilla micans,Buser,
Alchemilla xanthochlora,Rothm.,Intermediate Lady's-mantle
Alchemilla filicaulis,Buser,Hairy Lady's-mantle
Alchemilla filicaulis subsp. filicaulis,,
Alchemilla filicaulis subsp. vestita,(Buser) M.E. Bradshaw,
Alchemilla minima,Walters,
Alchemilla glomerulans,Buser,
Alchemilla wichurae,(Buser) Stefánsson,
Alchemilla glabra,Neygenf.,Smooth Lady's-mantle
Alchemilla mollis,(Buser) Rothm.,Garden Lady's-mantle
Alchemilla venosa,Juz.,
Aphanes arvensis,L.,Parsley-piert 
Aphanes australis,Rydb.,Slender Parsley-piert
Aphanes arvensis agg.,,
Rosa multiflora,Thunb.,Many-flowered Rose
Rosa setigera,Michx.,Prairie Rose
Rosa luciae,Franch. & Rochebr. ex Crép.,Memorial Rose
Rosa arvensis,Huds.,Field-rose 
Rosa arvensis x rugosa = R. x paulii,Rehder,
Rosa arvensis x gallica = R. x alba,L.,White Rose
Rosa arvensis x stylosa = R. x pseudorusticana,Crép. ex T.A. Preston,
Rosa arvensis x canina = R. x irregularis,Déségl. & Guillon,
Rosa arvensis x caesia,,
Rosa arvensis x obtusifolia = R. x rouyana,Duffort ex Rouy,
Rosa arvensis x tomentosa,,
Rosa arvensis x sherardii,,
Rosa arvensis x rubiginosa = R. x gallicoides,(Baker) Déségl.,
Rosa arvensis x micrantha = R. x vituperabilis,Duffort ex Rouy,
Rosa spinosissima,L.,Burnet Rose
Rosa spinosissima x rugosa,,
Rosa spinosissima x canina = R. x hibernica,Templeton,
Rosa spinosissima x caesia = R. x margerisonii,(Wolley-Dod) Wolley-Dod,
Rosa spinosissima x tomentosa = R. x andrzejowskii,Boreau,
Rosa spinosissima x sherardii = R. x involuta,Sm.,
Rosa spinosissima x mollis = R. x sabinii,Woods,
Rosa spinosissima x rubiginosa = R. x biturigensis,Boreau,
Rosa spinosissima x agrestis = R. x caviniacensis,Ozanon,
Rosa rugosa,Thunb.,Japanese Rose
Rosa rugosa x canina = R. x praegeri,Wolley-Dod,
Rosa ferruginea,Vill.,Red-leaved Rose
Rosa virginiana,Herrm.,Virginian Rose
Rosa gallica,L.,Red Rose
Rosa stylosa,Desv.,Short-styled Field-rose
